order_id,customer_id,product,category,price,quantity,city,timestamp,status,is_scheduled,cost,profit,rating,review,revenue
1,1374,HP Jeans Edge,Fashion,1290,3,Kolkata,2026-07-30 02:54:56.478185,Delivered,False,1107.14,548.59,5,Very satisfied,3870
2,1944,Dell Tablet X,Electronics,11822,4,Delhi,2026-08-04 02:54:56.478211,Placed,True,7142.12,18719.52,2,Not satisfied,47288
3,1655,Adidas Jeans Edge,Fashion,26581,5,Kolkata,2026-07-14 02:54:56.478225,Delivered,False,19326.32,36273.42,4,Loved it!,132905
4,1549,Samsung Router Neo,Electronics,40873,2,Bangalore,2026-08-01 02:54:56.478237,Shipped,False,25492.75,30760.49,2,Waste of money,81746
5,1250,Lenovo Phone Elite,Electronics,38932,1,Delhi,2026-07-12 02:54:56.478248,Delivered,False,31884.82,7047.18,2,Not satisfied,38932
6,1012,Puma Router Mini,Electronics,28974,1,Pune,2026-07-15 02:54:56.478259,Placed,False,20072.81,8901.19,2,Bad experience,28974
7,1380,Boat Speaker Core,Electronics,46473,1,Mumbai,2026-08-07 02:54:56.478269,Shipped,True,35175.49,11297.51,3,Not bad,46473
8,1729,Lenovo Tablet Max,Electronics,18113,1,Kolkata,2026-08-06 02:54:56.478280,Delivered,True,12345.72,5767.28,1,Disappointed,18113
9,1376,Zara Router Max,Electronics,5550,4,Mumbai,2026-07-18 02:54:56.478290,Shipped,False,3422.31,8510.78,5,Highly recommended!,22200
10,1047,Apple Bag X,Fashion,7243,5,Chennai,2026-08-05 02:54:56.478300,Placed,True,4441.49,14007.55,1,Very poor quality,36215
11,1937,Sony Watch Pro,Electronics,25598,2,Pune,2026-08-04 02:54:56.478310,Delivered,True,17082.94,17030.11,2,Terrible product,51196
12,1976,Puma Router Plus,Electronics,18277,1,Chennai,2026-07-31 02:54:56.478321,Placed,False,11949.56,6327.44,5,Amazing product!,18277
13,1205,HP Bag Edge,Fashion,30980,3,Bangalore,2026-07-24 02:54:56.478331,Placed,False,23728.43,21754.71,1,Not worth it,92940
14,1750,Puma TV Pro,Electronics,20417,5,Kolkata,2026-08-07 02:54:56.478342,Shipped,True,15874.37,22713.17,4,Superb quality!,102085
15,1973,Acer TV Plus,Electronics,16564,2,Bangalore,2026-08-07 02:54:56.478354,Placed,True,11096.21,10935.58,3,Average experience,33128
16,1503,Zara Shoes Edge,Fashion,43577,4,Delhi,2026-07-31 02:54:56.478365,Cancelled,False,33072.52,42017.93,2,Terrible product,174308
17,1717,OnePlus Tablet X,Electronics,9830,3,Bangalore,2026-08-04 02:54:56.478375,Cancelled,True,8544.1,3857.7,5,Very satisfied,29490
18,1606,Acer Tablet Prime,Electronics,49514,1,Kolkata,2026-08-08 02:54:56.478385,Cancelled,True,39173.73,10340.27,4,Loved it!,49514
19,1325,Lenovo Jacket Elite,Fashion,29007,2,Chennai,2026-08-06 02:54:56.478395,Shipped,True,24808.94,8396.13,4,Worth every penny,58014
20,1477,Xiaomi Tablet Neo,Electronics,15809,1,Bangalore,2026-08-05 02:54:56.478405,Placed,True,10222.47,5586.53,2,Will not recommend,15809
21,1872,H&M T-shirt X,Fashion,8412,5,Delhi,2026-07-04 02:54:56.478415,Cancelled,False,6187.66,11121.71,4,Excellent performance,42060
22,1405,Nikon TV Mini,Electronics,10829,3,Kolkata,2026-08-05 02:54:56.478425,Shipped,True,6979.26,11549.22,2,Not worth it,32487
23,1569,Zara Router X,Electronics,44879,3,Pune,2026-07-08 02:54:56.478435,Cancelled,False,27345.88,52599.36,4,Top notch quality,134637
24,1133,Acer Laptop Prime,Electronics,16874,1,Mumbai,2026-07-31 02:54:56.478445,Cancelled,False,10739.22,6134.78,1,Very poor quality,16874
25,1066,Nike TV Pro,Electronics,26752,3,Mumbai,2026-08-08 02:54:56.478455,Shipped,True,23414.11,10013.66,1,Not satisfied,80256
26,1172,OnePlus Phone Edge,Electronics,42835,4,Kolkata,2026-08-04 02:54:56.478465,Shipped,True,27275.54,62237.83,4,Amazing product!,171340
27,1219,Puma T-shirt Ultra,Fashion,47976,4,Mumbai,2026-08-03 02:54:56.478474,Delivered,False,38618.95,37428.21,2,Not worth it,191904
